Array,SimSub,AIC_TD,AIC_TDRS,RealAlphaPos,RealAlphaNeg,RealBeta,RecAlphaPos,RecAlphaNeg,RecBeta
2,540,140.5454653,132.8926288,0.539440398,0.595594107,2.581003544,0.22625438,0.563766671,4.243378336
2,541,96.56655677,95.50529235,0.637544378,0.420821936,8.403050856,0.668443045,0.477708811,6.825014854
2,542,175.9166174,31.62081214,0.259739924,0.85573777,18.48292311,0.216605587,0.724326728,18.94791867
2,543,123.2087158,86.46981793,0.210029298,0.592534363,8.052962969,0.159166031,0.613600456,9.40423349
2,544,71.84224668,73.54236901,0.400572791,0.389155311,10.36457682,0.424265186,0.379468528,12.35771426
2,545,117.184814,89.42096201,0.257323418,0.567942113,7.793780023,0.180776986,0.397906246,11.97462769
2,546,26.57261322,28.75916474,0.885725091,0.879821184,23.81662267,0.750270517,0.854751562,18.04880374
2,547,85.300148,39.39454425,0.954844476,0.38911891,18.37425436,0.792377837,0.326246576,18.52405602
2,548,141.1080107,128.2045797,0.173812393,0.484204138,5.710532149,0.219195214,0.623413462,5.053112812
2,549,98.25184788,70.36155843,0.33702334,0.105716098,10.91013007,0.591576853,0.145637521,8.65540776
2,550,138.3240568,84.05792923,0.103202572,0.962251068,7.532732922,0.110222026,0.775164559,8.674724222
2,551,45.47219645,43.16330456,0.403073159,0.454806256,28.17741014,0.427933155,0.505416932,21.20862448
2,552,114.7753946,67.16948506,0.171035619,0.857350945,13.5937491,0.230834687,0.748290438,11.97288453
2,553,103.5030952,44.57914819,0.334076878,0.088694454,26.42648053,0.622247169,0.108493823,15.14349117
2,554,104.1370601,103.204579,0.765734379,0.610597362,4.420982893,0.446866022,0.320206864,7.24795633
2,555,20.64913553,21.2964827,0.660223251,0.913837127,23.61573865,0.690949389,0.904246924,18.19210067
2,556,53.28359547,56.08657543,0.88990989,0.846992992,11.64584089,0.813894419,0.898155397,10.44553501
2,557,71.50469589,37.26142934,0.274770567,0.649978637,14.77604121,0.348688844,0.731392114,18.52691192
2,558,57.79689222,60.51457628,0.855624666,0.989053333,9.841948128,0.812871356,0.954812863,9.236632045
2,559,120.6404101,78.87825664,0.225323284,0.010756788,21.41194277,0.614623306,0.038462074,8.4126893
2,560,73.54343457,68.99375783,0.552328197,0.49055712,9.8559171,0.630201834,0.400085373,10.69126626
2,561,140.2423536,47.78598311,0.173811481,0.91299156,22.30830045,0.174954191,0.856701335,17.76494946
2,562,145.5017059,140.2409392,0.398037478,0.106282965,2.054638407,0.516272293,0.153110647,2.334631396
2,563,124.6110141,81.53563012,0.157934063,0.362174777,11.37083191,0.145081587,0.442510119,12.37132601
2,564,137.8439151,29.88749749,0.001822094,0.288535765,29.25268515,0.043153817,0.541866027,20.04009096
2,565,137.8940006,60.7969862,0.171558272,0.804110239,9.116920922,0.095079796,0.7818432,12.26252296
2,566,49.8390321,38.90339003,0.319592774,0.268176429,28.32206147,0.515796634,0.321196566,20.68099038
2,567,56.72402994,37.4629998,0.583825345,0.351759002,27.22187195,0.615266104,0.34692637,20.90692316
2,568,48.8495819,39.43347727,0.601561798,0.892638485,25.38670261,0.575160575,0.88812559,17.54286816
2,569,85.23354297,64.96047876,0.575143979,0.235475241,13.20568881,0.704063333,0.276606142,10.20119943
2,570,49.11668075,44.26927666,0.416647267,0.646908858,27.87964185,0.432848019,0.707882202,16.23644585
2,571,40.72436346,34.36786279,0.527133492,0.865004931,24.34472263,0.572318601,0.899903514,16.63506869
2,572,150.5766482,151.3479743,0.861914712,0.427207697,0.512281458,0.335495612,0.638100689,1.73610362
2,573,110.9770221,90.89026597,0.657445278,0.218666432,8.465593184,0.800854631,0.300085632,6.845490029
2,574,81.67836937,48.68086818,0.393256883,0.714700669,20.94346902,0.334053872,0.632323017,18.66629355
2,575,89.42394313,36.05305441,0.762860071,0.142156981,20.91626198,0.66139417,0.161468348,16.15161039
2,576,50.88803101,52.86820865,0.409042426,0.376144323,22.91381527,0.387567367,0.395248229,16.51595061
2,577,56.24068692,44.35758965,0.692584788,0.427586116,23.26977019,0.720544665,0.423034616,29.99986575
2,578,135.8647573,119.1255871,0.572036221,0.064592583,3.815562195,0.609212264,0.053261052,3.812492894
2,579,41.6531791,42.98931701,0.516240776,0.567576394,24.34572044,0.661025811,0.575011413,14.76492797
2,580,141.7237524,143.6684195,0.462551126,0.516061116,1.953742145,0.539026603,0.494940299,2.305878758
2,581,133.6161307,131.0173202,0.613581359,0.908590745,3.111693193,0.364163573,0.696387914,3.776491373
2,582,66.95430792,68.11738225,0.921727619,0.721365447,12.08145752,0.819926669,0.73114792,9.031955399
2,583,145.8589269,139.9369888,0.661950819,0.048111058,2.464127966,0.52737859,0.093211835,2.207402286
2,584,47.37257003,33.50865658,0.607993215,0.357003868,26.24000519,0.631235417,0.381634191,21.89495955
2,585,95.90843158,84.37086945,0.455871912,0.791478592,7.547763921,0.393715474,0.741682245,8.738608843
2,586,54.10572841,46.23877987,0.517384855,0.62432989,28.00958847,0.418421708,0.662987132,17.74492159
2,587,39.33531156,35.34158123,0.87196904,0.590303271,26.62190649,0.805288454,0.590197973,19.15364974
2,588,134.3898569,50.57488259,0.190655548,0.943707381,22.51587721,0.129803628,0.822843446,15.56182827
2,589,84.54888021,64.11300773,0.782277436,0.281271807,7.846090964,0.616978471,0.270281638,10.88020164
2,590,58.62218651,45.9045725,0.906491842,0.53130803,15.48161268,0.884570916,0.53044529,13.35212324
2,591,94.7910256,65.48073378,0.389416799,0.875977054,10.25702787,0.275442589,0.785512579,11.42013362
2,592,86.64103432,60.06688885,0.826764863,0.300270484,13.04546967,0.716745327,0.269076228,10.72982755
2,593,95.48352472,96.63361723,0.169763149,0.099827386,12.81930332,0.190170775,0.137026703,9.327779755
2,594,24.16955527,26.89941268,0.590160782,0.934326876,18.53302539,0.804200693,0.936653538,17.02179589
2,595,84.48727957,35.27711439,0.99320339,0.380625659,29.20047279,0.911968903,0.319433717,20.59756259
2,596,86.03779969,38.54294519,0.293457466,0.965574152,17.29397214,0.291915009,0.889542772,15.90934706
2,597,54.67494227,45.07041006,0.763992301,0.459767521,18.47225776,0.825803036,0.460012434,14.45347476
2,598,116.8295062,116.3894608,0.286332197,0.438989343,7.178201419,0.33438809,0.441756863,6.468512041
2,599,125.9880757,53.6322116,0.177492689,0.853944226,16.09706582,0.167876719,0.71925377,14.20032936
2,600,140.6198363,142.6594852,0.653622796,0.620870476,2.194788674,0.571524387,0.593541625,2.484366048
2,601,58.7162724,33.85472134,0.510820775,0.252043841,24.63675329,0.49296918,0.238996759,19.57592295
2,602,152.3560223,152.343693,0.145564853,0.54874406,0.832748436,0.001578109,0.006000811,29.99992154
2,603,95.04519703,61.11018951,0.613487842,0.195582267,12.65150776,0.654733077,0.190696135,10.54785699
2,604,41.60869727,43.16319104,0.497120088,0.470779542,21.09362306,0.449965447,0.474858772,19.63013934
2,605,32.17580504,33.68449368,0.91094614,0.976657061,23.60972093,0.747604187,0.94418022,16.90804082
2,606,58.30095718,55.01008768,0.35553306,0.429339129,19.85506745,0.296939656,0.362596077,18.7611284
2,607,105.072335,106.99383,0.470919931,0.396479583,7.387789553,0.492170034,0.514745538,6.573830306
2,608,141.4207864,35.48603379,0.120811063,0.871382033,24.43352588,0.10213823,0.876425057,18.69200422
2,609,43.31802812,38.68233793,0.892600954,0.560283044,23.75552036,0.779675806,0.542560238,18.58145656
2,610,82.1978271,46.95034313,0.396547817,0.980151772,22.50291181,0.362953659,0.885649154,13.99362322
2,611,27.4877058,29.62218377,0.766308338,0.609984533,22.51110363,0.533252184,0.515316352,24.70334677
2,612,23.09132384,25.18910171,0.773766257,0.775520626,24.63040868,0.737676235,0.788112552,18.80427768
2,613,136.5767404,138.3132097,0.375759717,0.362850983,3.331583371,0.46343338,0.389969243,3.217654007
2,614,143.5987814,146.1361502,0.400689914,0.402522051,2.338629475,0.651506614,0.648762923,2.116034947
2,615,154.6508653,36.11185401,0.005327366,0.756387254,20.69230517,0.020841623,0.775976111,18.03214416
2,616,134.8752242,136.8456232,0.967785639,0.513700001,2.825847082,0.448804298,0.47377785,3.419049817
2,617,129.9541718,59.94283756,0.212881875,0.68788577,23.26140443,0.18639636,0.632415965,16.16902377
2,618,89.81171927,73.25156398,0.841973578,0.367113586,14.88145161,0.642853004,0.310495874,10.02968258
2,619,69.47908956,61.8201081,0.441089831,0.276011527,9.975348776,0.48826337,0.266152421,12.36498008
2,620,49.69075793,51.63008865,0.626767522,0.617769019,16.38973523,0.564482075,0.577998329,15.80589151
2,621,137.147107,128.0359149,0.998320529,0.146025326,2.905623229,0.693898352,0.232151443,3.270886812
2,622,55.64861165,57.61044785,0.788390173,0.806259799,14.502538,0.765325764,0.85650447,11.24852301
2,623,152.7693355,151.429784,0.132915335,0.292484818,3.587367314,0.164084982,0.517626128,1.913839055
2,624,52.38342829,53.53511736,0.365248685,0.32921232,20.42250687,0.470765075,0.408475754,16.359541
2,625,77.55125184,44.61590987,0.394016306,0.92861651,23.17839329,0.375413181,0.905054191,15.65749146
2,626,142.1613922,53.52299699,0.0129563,0.588383309,15.77525452,0.063837089,0.624528163,12.9825094
2,627,79.54123928,66.78558883,0.120589896,0.203386059,19.95129977,0.153102601,0.229506523,17.03514911
