Array,SimSub,AIC_TD,AIC_TDRS,AIC_Util,AIC_FourLR,RealAlpha,RealBeta,RecAlpha,RecBeta
18,8644,147.474396427029,146.643517911881,146.427497164249,150.571886616917,0.209564933631693,2.0840471898128,0.231786965440951,2.27966584250383
18,8645,83.9288268902485,86.2077061513911,85.9203035135511,90.2245342227277,0.211490868638339,10.8071997388141,0.229498989295945,11.7583360591934
18,8646,103.937048967496,103.739470494277,104.659253785971,105.711661835534,0.225813693066167,9.98775157747435,0.258974027551586,8.1984049927656
18,8647,141.530701774929,143.404351139516,142.411839139622,146.980435870276,0.778848948791212,3.10193550485425,0.567487489641,2.38658708888667
18,8648,70.8481320494072,72.602485311041,72.8110753520673,75.4686488048856,0.628472426920848,11.8021745800711,0.597701946425921,11.0727784027787
18,8649,69.0469542368168,71.2883786886899,71.0320945094484,75.299744396714,0.220258724400748,11.0488458712886,0.234437857151889,15.3485648411845
18,8650,119.310543872454,117.997389644571,118.308563423999,119.264284284257,0.459589835096246,6.92495467891952,0.389122716850486,5.26930370478996
18,8651,126.892166052715,128.816489293951,127.2281697219,134.426796862412,0.0929335967251081,8.53718456242299,0.0782973640520597,7.45657401705794
18,8652,85.3229036477579,87.0214132967315,84.5835215283222,90.5875586482723,0.767643380944488,5.07594449265947,0.757497588748819,7.17562779766793
18,8653,78.9764430576031,80.987842397002,80.9804643123797,85.0225238820135,0.282752586606946,11.7256748508393,0.324887067220138,12.4669802125649
18,8654,106.856762818973,108.729548549701,108.559152346139,108.350340524818,0.341938624217906,7.0145756307145,0.403573697331299,6.09776829370186
18,8655,154.425609373055,155.756840856933,156.287947055334,159.085399175863,0.236234507582537,0.736954828032731,0.469934689103178,0.681612003449289
18,8656,98.6144351169265,100.275203084827,99.7510904947184,101.716356463696,0.766597269472139,5.07748076950717,0.766827161017934,6.45233605300374
18,8657,118.622494659001,120.916897461411,119.970398011768,125.67209000059,0.106383790346886,10.2882119140641,0.158557331627527,7.09352449395894
18,8658,72.1771947138536,74.0028178776003,74.1774634013325,77.3094473036185,0.445245952955768,10.2091824020108,0.461452279550448,10.6386426519628
18,8659,90.4767571702094,92.4888437140673,92.2929291395748,92.8146122784429,0.623369995208335,8.61099439651508,0.704840578287779,7.45801205284912
18,8660,137.603685826833,139.466990410484,138.637311949366,143.327557271642,0.529118085975892,1.60930471270929,0.532441060669612,2.72666789294111
18,8661,152.292068641718,153.632235659745,152.61524692783,156.312566013976,0.84817605272011,0.876428498267785,0.545970461660089,1.05802980060617
18,8662,104.391747598936,101.944959949211,105.573611308358,106.219742916547,0.475429981373174,7.76715559805081,0.520530232048312,6.57775399469943
18,8663,149.163854694757,151.737726909178,152.574935404564,155.372195500135,0.187798977343105,1.7184418154916,0.77503643664142,1.35165394754364
18,8664,110.502484950755,112.286465979058,111.793565366981,112.328592471412,0.855896644176561,3.67609462625342,0.558822747809869,5.27146511208672
18,8665,66.8548879915968,68.6246376435078,68.7919795724781,71.7786339521201,0.75230740789732,9.68291073561374,0.713225591248076,10.1374977491848
18,8666,153.74624458422,155.713780811199,155.527819695746,159.726078845254,0.433853841771455,0.558685601574959,0.404859362386068,0.824161523829704
18,8667,135.007187048073,135.497405645766,133.490339644843,136.328444699087,0.573130728682494,2.97039039645594,0.469691305533568,3.26835629644157
18,8668,131.138476002878,132.1352873784,128.424342890424,136.542151302883,0.101267191626372,7.95639088892157,0.12605706038296,5.29214534329434
18,8669,140.10226506065,141.640108469692,141.457617209586,143.505885930747,0.161999619635113,3.66386714328923,0.250756627436828,3.2472572165939
18,8670,66.9823048718939,68.9096657444997,69.0297645575319,71.1036195219283,0.657331014879249,10.5850995210091,0.60570571044738,11.3460173332598
18,8671,123.571206991404,125.170016093753,125.532672560875,126.393166034998,0.80008407358311,3.89544588555886,0.745624905098533,3.57317531555218
18,8672,87.0477304784835,88.5154065794503,89.0240312747072,91.5159253189879,0.658130441972608,7.16070155417724,0.66706139065433,7.55854462526661
18,8673,154.078708143203,156.259253578129,155.80057062776,160.174293861907,0.498180863297337,0.919587072095483,0.290756285882094,0.803484900894062
18,8674,153.161361494786,154.717202924399,153.335165352734,158.096616893366,0.58810435344561,0.604976585760216,0.311488015015869,1.01943451051548
18,8675,122.064474464231,121.870649070676,121.290848848807,125.650111177822,0.781036636866517,3.90585299234272,0.651427430806647,3.95234955270204
18,8676,149.429012053997,151.268098289367,150.818162238978,154.403318194535,0.531746782503437,0.799848709678828,0.329929195895403,1.78410537642102
18,8677,134.477159726337,134.997996726895,134.336708075648,138.686880947243,0.200092677915198,5.62784911346168,0.504496343218399,3.49530586053272
18,8678,81.6274346620778,83.5726323426975,83.561949518885,77.2085617627374,0.453860878571478,10.9624168675718,0.407853412765293,10.0044967789129
18,8679,121.632826328842,124.382437317744,122.444088552565,128.065401131807,0.764667336436612,3.53851622733705,0.882598357663978,3.46704463248153
18,8680,132.797437274301,133.378489274025,133.375508639328,138.179374240868,0.802040006977346,3.79497194603734,0.760047502935929,2.99158517506105
18,8681,69.7213180411234,71.7914006100559,71.5961899561073,74.5619545367386,0.843852919028716,11.2918870132267,0.783782877634959,9.88016232812848
18,8682,151.621400270572,154.111709711347,153.466254101096,157.563414490649,0.100433764385131,2.51404999728156,0.181664365387646,1.56618741509706
18,8683,95.4424872542373,97.769751088526,97.49852514471,102.293176113683,0.18360181627058,9.64155182603799,0.189437460595102,10.4778310015369
18,8684,85.6636929786695,87.5001530802367,87.5410786897968,89.9172454890505,0.447454543349587,8.67390371450881,0.447943442247414,9.55263043074556
18,8685,78.1724197566613,74.2589434641803,75.8656306557497,78.3646888194318,0.658773103647522,10.2672695739123,0.608152732091459,8.83339050618599
18,8686,128.061932815951,129.380552030414,130.050496617982,132.907096047685,0.415248028548094,2.75284208569589,0.512643670208039,3.8887854739901
18,8687,126.761078243653,128.693107268874,128.746471516133,127.299911255925,0.768602653132166,2.80131619685512,0.483794130671844,4.02746404443577
18,8688,127.02746610201,128.766043080704,127.207370919963,132.864209885821,0.631742307801807,4.14629001487182,0.720096228477282,3.51571532740474
18,8689,133.829828249282,135.83254019555,135.469620755126,139.282157023799,0.765577684277116,3.17683608656903,0.531443435911731,3.31516754605187
18,8690,124.566398810092,126.204551808786,126.432891440012,128.457750511646,0.691320051056762,4.34252498276811,0.618347017608287,3.9459522204182
