SubjectNumber,Age,Alpha,Beta,Rho,MeanRiskAll_sim,MeanRiskBlockEqEV1_sim,MeanRiskBlockEqEV2_sim,MeanRiskBlockEqEV3_sim,MeanRiskOverallEqEV_sim,MeanRiskBlockUnEqEV1_sim,MeanRiskBlockUnEqEV2_sim,MeanRiskBlockUnEqEV3_sim,MeanRiskOverallUnEqEV_sim,MeanTestBlock1_sim,MeanTestBlock2_sim,MeanTestBlock3_sim,MeanTestBlocks2and3_sim,UsableData_sim,MeanRiskEq040_sim,MeanRiskEq080_sim
53,15,0.214813952,4.534419944,0.94552753,0.546666667,0.472857143,0.496428571,0.418571429,0.462619048,0.6825,0.68875,0.71,0.69375,0.612142857,0.771428571,0.793571429,0.7825,1,0.476666667,0.443888889
54,22,0.23267086,6.012891858,0.740149105,0.491060606,0.467857143,0.387857143,0.390714286,0.41547619,0.57875,0.63,0.66125,0.623333333,0.708571429,0.837857143,0.851428571,0.844642857,1,0.455,0.362777778
55,12,0.393076439,2.568875117,1.184666044,0.567272727,0.520714286,0.519285714,0.541428571,0.527142857,0.57625,0.66,0.67625,0.6375,0.597142857,0.646428571,0.669285714,0.657857143,0.75,0.536666667,0.514444444
56,22,0.19954163,5.992260996,0.024085543,0.107878788,0.214285714,0.068571429,0.043571429,0.108809524,0.1975,0.08,0.04125,0.10625,0.74,0.848571429,0.814285714,0.831428571,1,0.127916667,0.083333333
57,25,0.086937546,6.738924243,0.901431457,0.586666667,0.521428571,0.492142857,0.475,0.496190476,0.6875,0.76125,0.78625,0.745,0.664285714,0.801428571,0.83,0.815714286,1,0.515833333,0.47
58,14,0.102589618,5.279279073,0.691216296,0.485454545,0.456428571,0.398571429,0.374285714,0.409761905,0.57125,0.6525,0.63,0.617916667,0.645,0.783571429,0.82,0.801785714,1,0.445416667,0.362222222
59,13,0.168344021,3.634350791,0.10561196,0.227575758,0.275,0.197857143,0.177142857,0.216666667,0.26625,0.25125,0.2225,0.246666667,0.677142857,0.752857143,0.81,0.781428571,1,0.224166667,0.206666667
60,19,0.228171616,1.994236484,0.389177431,0.414848485,0.402142857,0.397142857,0.37,0.389761905,0.47,0.435,0.47125,0.45875,0.59,0.693571429,0.686428571,0.69,0.87,0.399583333,0.376666667
61,26,0.168555534,2.739036841,0.773224201,0.490909091,0.425,0.461428571,0.460714286,0.449047619,0.49625,0.61625,0.58,0.564166667,0.607857143,0.681428571,0.711428571,0.696428571,0.9,0.44875,0.449444444
62,18,0.311698722,3.533634721,0.207464711,0.26,0.274285714,0.214285714,0.238571429,0.242380952,0.28625,0.315,0.27125,0.290833333,0.655714286,0.792142857,0.799285714,0.795714286,0.98,0.273333333,0.201111111
