Array,SimSub,AIC_TD,AIC_TDRS,RealAlpha,RealBeta,RecAlpha,RecBeta
14,6670,60.47379391,62.78142537,0.235296459,24.45103863,0.212965455,18.67693834
14,6671,95.09038487,96.74433173,0.788974634,7.988388802,0.691663709,6.860717769
14,6672,65.16167058,66.33732351,0.303912656,20.14167533,0.396774034,14.68377656
14,6673,89.44494791,90.64754416,0.287635223,9.340417595,0.372801953,8.955110746
14,6674,59.84151062,61.36717031,0.315682582,19.62433147,0.407116347,14.62624349
14,6675,45.34563028,43.83490153,0.276322211,23.51716568,0.33993341,21.55124366
14,6676,69.81265943,70.80937533,0.606258159,12.37439382,0.56088365,10.77552132
14,6677,51.44489002,53.16368262,0.477367447,17.05417137,0.497042335,14.06410134
14,6678,43.91786109,44.39717424,0.448124269,25.43512055,0.526684286,17.07431123
14,6679,122.3442935,124.2472454,0.738899162,2.232947034,0.619208574,3.933367912
14,6680,105.0789485,107.5918434,0.127430783,15.0599107,0.125396455,10.7064305
14,6681,50.58994781,52.12015991,0.757171173,17.27801595,0.737166012,13.15471056
14,6682,77.44953403,79.10503254,0.610057102,12.66893709,0.532068591,9.871034846
14,6683,152.6752104,154.5302214,0.039134235,0.284873196,0.123325922,1.410529454
14,6684,69.08415881,70.44694019,0.599069683,13.54157373,0.647556435,10.30720134
14,6685,72.73697054,74.82156549,0.329481239,14.52039095,0.303832384,12.94946131
14,6686,43.46334389,45.09544052,0.433450947,20.11330985,0.539368547,17.86064558
14,6687,116.0956915,117.4372373,0.463724509,3.876952102,0.612276092,5.154412626
14,6688,121.4704866,123.5840829,0.152968974,6.653576268,0.153503422,6.345978967
14,6689,48.9884576,51.40849431,0.999854423,12.12721224,0.892448746,10.71177613
14,6690,68.19613734,70.5075655,0.08539944,27.94552134,0.153549459,18.3325621
14,6691,76.10978666,78.20226605,0.37249315,9.69982563,0.384846443,11.10794281
14,6692,64.70848177,66.51708874,0.401675426,16.90037916,0.434870828,13.88545961
14,6693,98.14243675,100.4544518,0.17536897,6.658180768,0.1892732,9.441465107
14,6694,49.19525031,51.23950126,0.347480422,22.99466915,0.380137109,16.63285001
14,6695,90.32674114,91.60853639,0.149328557,11.86807022,0.313734789,9.131687506
14,6696,113.0089786,114.7765169,0.026327485,26.92677032,0.064233518,10.53419474
14,6697,153.1218596,154.2754902,0.378632694,0.730246696,0.319825007,1.009989325
14,6698,36.11132196,38.17893955,0.966033615,19.21491551,0.938764202,13.2952718
14,6699,50.56980929,50.64296839,0.923019465,8.879762709,0.828990735,11.4943587
14,6700,147.4683083,147.613669,0.781513496,0.651135988,0.333622597,2.08333102
14,6701,57.99418342,56.73019316,0.238023097,16.25260955,0.287634105,15.6111934
14,6702,106.9516058,108.6852161,0.459674142,6.324456726,0.557718279,5.714007718
14,6703,35.68127509,37.61804324,0.317883721,23.76724362,0.332092897,23.24259602
14,6704,152.999552,154.9887022,0.549749151,0.339723152,0.421555377,1.005102786
14,6705,118.0919688,120.8005348,0.161321017,7.926713671,0.152608622,6.998962742
14,6706,64.92586005,65.42333619,0.997218475,10.43595603,0.891050719,9.440952457
14,6707,144.506369,146.6229524,0.985625159,0.75943838,0.641896271,1.869036169
14,6708,42.6644079,44.60529466,0.869797318,12.39536203,0.9264776,11.74580238
14,6709,53.73953547,54.4946252,0.504098267,15.51357263,0.428305274,15.54350533
14,6710,35.1223133,36.95274053,0.65330561,22.06113172,0.668228777,18.52657946
14,6711,64.8404932,66.75577407,0.631598181,12.74178592,0.626015839,11.20512944
14,6712,55.70101095,55.86593223,0.594541757,15.11586693,0.51342909,13.90403597
14,6713,21.17346976,23.31523083,0.891308015,25.99535973,0.8584638,19.45540082
14,6714,54.53710263,56.48977849,0.289650437,25.54280326,0.311848476,17.22564036
14,6715,110.8826375,113.0453823,0.106180766,7.273561471,0.21818767,7.563778231
14,6716,48.3141933,50.36990834,0.620944985,11.71079974,0.745062165,12.62237165
14,6717,57.91030935,57.47752718,0.555103623,16.9426979,0.685152239,11.45034023
14,6718,131.7461212,134.0532279,0.165160733,5.829268105,0.161324519,4.722826238
14,6719,126.2214977,129.4777184,0.017560932,21.47776396,0.102049696,6.731257294
14,6720,62.97305407,64.97579205,0.358534649,19.70317065,0.420697172,12.67486675
14,6721,75.25286457,77.45929414,0.247789428,18.11596939,0.276515173,12.80336712
14,6722,56.76618011,57.96105587,0.161916846,26.83450538,0.22133603,29.99970745
14,6723,47.69877838,45.49191628,0.383218872,21.41251314,0.437320047,17.67408959
14,6724,145.536454,147.3911204,0.225906595,3.675288015,0.524514248,1.966037844
14,6725,134.2152241,135.0351659,0.322893328,5.517988078,0.38088721,3.838036627
14,6726,55.60917569,57.47703593,0.295026523,23.1462143,0.270837468,18.47819068
14,6727,30.71336613,32.81266495,0.732232108,22.39857741,0.806336062,16.32405694
14,6728,24.13776612,25.98731013,0.799910998,22.894487,0.740151757,19.4716155
14,6729,112.6795388,113.2130774,0.261196201,6.589324478,0.303921799,6.694179303
14,6730,140.0371847,141.5640263,0.240363206,3.188628728,0.201105701,3.461209853
14,6731,56.72189213,57.30652303,0.274280676,24.72187752,0.293391762,18.30768076
14,6732,56.33493373,58.28074342,0.426941906,15.08245722,0.474714199,15.22599808
14,6733,99.26615587,101.4266369,0.238660125,14.49453076,0.310180597,8.649013557
14,6734,97.52384103,85.72880851,0.243554004,19.08776639,0.235720762,29.99995815
14,6735,93.08092293,94.40877207,0.051873368,23.93522019,0.112239796,12.60941036
14,6736,56.2451002,59.85742334,0.204979679,27.08096225,0.164372808,29.99999816
14,6737,133.0864983,134.9066325,0.599123393,2.571008201,0.779335516,2.960032672
14,6738,34.90937014,37.02488713,0.844561802,24.05982567,0.913643186,13.74692994
14,6739,105.2648451,108.5837995,0.049414024,22.76378759,0.072506673,11.99796477
14,6740,145.7054948,147.6200022,0.206493086,2.571751741,0.463241522,2.013404498
14,6741,33.46533285,33.09335927,0.599244509,21.21976346,0.735820791,17.36068287
14,6742,73.11388226,75.78271823,0.097356473,20.57524459,0.133943582,16.19009641
14,6743,106.5598047,108.5766591,0.644495229,7.754105542,0.680632172,5.578037529
14,6744,31.92514734,33.68263607,0.587807699,28.36373573,0.60487791,22.407833
14,6745,55.95210615,58.03839947,0.180517356,26.43284012,0.204868978,20.20422864
14,6746,144.2359914,144.3505059,0.503328291,1.314227311,0.117183744,3.243213088
14,6747,65.15246751,66.76264886,0.24580135,14.18580477,0.343541386,15.41129515
14,6748,117.8544779,119.5251769,0.586615514,5.760343839,0.583811196,4.537523465
14,6749,118.5696592,119.6057205,0.318129012,6.535478179,0.312440277,5.839165717
14,6750,29.78061239,33.20904026,0.958258716,28.69094979,0.960198559,15.65795756
14,6751,52.69497736,54.63612632,0.639663055,16.25633895,0.641778077,13.71978653
14,6752,131.6471178,133.5809447,0.151458622,4.02375667,0.17626493,4.639316281
14,6753,97.55214243,98.74091545,0.649099322,8.422658361,0.620523425,6.884430825
14,6754,88.60747826,90.10449474,0.582531893,9.019413706,0.50803603,8.922369148
14,6755,57.44978641,59.58182198,0.769022541,14.12727374,0.807893841,10.6561098
14,6756,62.29633928,64.36218765,0.311275206,16.64966895,0.32402105,15.90346523
14,6757,75.61817289,77.60144014,0.456240663,15.25943597,0.419627439,11.61700286
