Array,SimSub,AIC_TD,AIC_TDRS,AIC_Util,AIC_FourLR,RealAlpha,RealBeta,RealRho,RecAlpha,RecBeta,RecRho
20,9566,82.0485212195091,81.0582245602794,80.2277445348906,84.8753336556134,0.395811222449812,8.20590180526995,1.11330237939744,0.472099566601545,10.605087081948,1.27762156696578
20,9567,90.0604078890779,91.0603827155402,89.1443178754299,95.6070548362561,0.243180483338967,8.60581075036244,0.970386944490772,0.204338869626552,11.4509248427994,0.8498373099438
20,9568,116.46228752301,110.03892872457,109.694602228425,110.960023837857,0.352460915868961,6.35547222848069,2.34077741543887,0.357583096839406,6.71365086958058,1.91545756344196
20,9569,142.377809534281,96.7129309903751,88.5418634833907,96.2785724104816,0.295898959255684,7.60052384368751,0.347118706934515,0.349184748425751,6.58448881277579,0.215932953343992
20,9570,95.4041291102423,97.1705361745693,96.367092428747,99.0407756187348,0.34831423734635,7.94224762839925,0.846483666275711,0.35559203934989,8.7393500490498,0.885812564376139
20,9571,55.0538365880616,52.4293094045944,48.8066760240969,55.4893667329852,0.713011068623069,9.32826827247381,0.53628964293149,0.811828580748561,8.62507183971248,0.520216148153708
20,9572,90.7574587472518,89.2122033677359,90.0510045531183,88.6102539004088,0.408323734533987,7.45210084265752,0.913932096588179,0.454874963285281,9.42293420843553,1.24381062639996
20,9573,74.8839038862536,73.9625541507944,72.4065398497468,76.2127821796279,0.638726395463449,5.91764300353439,0.626870897794018,0.615307255328211,7.95642550651789,0.706801854293052
20,9574,122.493722902276,99.3749741847373,96.7676704249011,102.435553423559,0.310949975933119,6.00810540470636,2.22333883494489,0.38056577192833,7.9297912095943,2.5
20,9575,138.322431583191,123.913535425521,122.483623819162,127.499308389001,0.229890748453026,4.55926087202689,2.42099131817705,0.218353749621709,4.97391470518455,2.40711558103212
20,9576,150.645681219333,155.101166211503,150.216039421735,156.084770022874,0.165897612512793,0.575991857388678,1.3992081483742,0.0607371165135199,2.53640176104388,1.88626961094286
20,9577,86.2864648393534,87.2185694898893,87.8832389353556,88.3500568390569,0.634736807774474,8.25929668595239,1.32387325864198,0.597564051851661,7.97636972849269,0.898480255687372
20,9578,116.827432840148,104.82226669057,108.641543785404,108.355446706113,0.159890382965638,5.86880962826907,2.42050244949993,0.235128922865269,6.63990275896568,1.82240866345496
20,9579,117.554291773595,98.9673792404533,96.3883557736042,104.742197845659,0.134916019973589,10.8071775178767,2.35148227102249,0.240582571285686,8.15135580850005,2.4944261615016
20,9580,138.123797911568,137.351468060525,135.242761513863,140.845326173473,0.227950521268749,3.67131475024257,2.38802278949084,0.144374366506169,4.00572657062518,1.60598529235737
20,9581,118.526458682528,107.167667517299,102.15820871611,106.92473390061,0.0627300500128456,6.60608885938428,1.50740425768379,0.108670687196294,9.03637128177768,1.72361499392978
20,9582,92.2864831534938,94.2050334743594,92.5617770627312,98.6124215269507,0.152641883454152,10.3707535243395,1.30490516046023,0.283066305048561,9.57235896785682,1.22917742163154
20,9583,76.3977297923099,77.529203007073,77.336206512436,81.4591088652609,0.682383628022362,10.0209878352361,0.862455821511266,0.595683796404066,10.3049615272061,0.854467761554994
20,9584,127.018231075586,126.483284473378,125.400371908554,129.559220567175,0.349386974909884,4.35571718976492,1.28781601220723,0.378865779582577,4.85013359800976,1.5127176565419
20,9585,129.588374310481,122.984225630268,118.795016170132,122.353588232366,0.194022825856128,4.25082078638809,2.23113202508042,0.231480743139215,5.07294082914615,2.36474009197718
20,9586,128.339261321998,129.985949278524,128.76545808541,133.353407530528,0.714996650225336,2.36683681844042,0.743366951492309,0.682799523211539,3.1240328173214,0.730199981979543
20,9587,149.575353450452,151.989790750252,151.472024147488,153.926951542329,0.504956154372461,2.71362430952117,1.5281365820474,0.262812426777219,1.91565010012123,1.12174700758887
20,9588,152.265852840893,153.46449001773,152.499449408007,157.310785731926,0.054033857029926,1.05537792844981,2.37222296641263,0.424044058642333,1.3396517116224,1.81747546980104
20,9589,74.8667255181442,65.485564408806,59.6022969431563,68.4743904354134,0.664256670116122,8.90997686832213,0.600780478316642,0.696087038777312,8.94052858883505,0.482712251177404
20,9590,73.1245253013644,66.2302114335224,59.8983664879867,70.2165974618175,0.661274369153006,7.56611290851122,0.371667115136262,0.675496065826702,7.18745420480088,0.407584107413164
20,9591,142.379573256142,137.337512419918,135.885782487782,141.981849651592,0.0514796846917411,6.04017627301469,2.41380659265493,0.232597487964462,3.57116097754366,2.40615640703318
20,9592,147.579381635615,137.606646739431,143.15293327235,141.20815768029,0.453436298204872,3.26380279520346,0.577391495845901,0.397752769826009,2.12892299131578,0.396476034171418
20,9593,42.5253428056906,44.3908127255325,44.5198932340885,45.6290135240467,0.674006433644865,12.037934565696,1.12496302236767,0.613100805969002,17.5998450659105,0.942551985956537
20,9594,153.571352888931,155.839818772904,154.890786009896,159.67505890255,0.684841574587908,0.781084679503469,0.574775189191465,0.6674641764718,0.738422228527719,0.481617433698594
20,9595,111.349108976422,104.143673368505,102.839473069466,110.965358199435,0.167758494085678,7.61515723563815,1.63908301937695,0.102921201090582,9.35273190545323,1.60166154403494
20,9596,108.04337628493,106.813547431933,103.961988886637,106.394168378041,0.33870357109906,10.6205420569767,0.833888034728144,0.270655586449627,8.1309341467472,0.734717677760882
20,9597,124.535566503673,126.542450928538,126.471890317403,125.854923233462,0.587279139748558,3.45996276446404,1.66215011126621,0.457317736625956,4.71017620740174,0.945754031285736
20,9598,140.162191705727,142.25567149343,142.119574426168,144.894445931301,0.564378172022944,3.45809625029626,1.13616679910741,0.370488819279499,2.81122296321368,1.07855769489056
20,9599,85.0380290387664,87.4757188131989,87.0943674797752,91.0070739023719,0.138800325862494,8.28270226617814,1.02191994867186,0.169431743226889,12.4460432419663,1.03326127547499
20,9600,129.979749803094,76.9047386809211,57.9124849952007,80.9774307466111,0.422910728593045,8.08958940560799,0.0912183373246964,0.397217593383568,9.71613241369662,0.204967947087291
20,9601,142.482898509301,141.705236348815,140.947381374523,142.929104246771,0.450050532615155,1.90396527119396,1.39789831907986,0.362120687843146,2.74224628663671,0.544706256596855
20,9602,151.841545769362,118.512071676782,109.682827582719,120.991710271517,0.0913132623545534,7.25235500056198,0.267536360874013,0.120379442329845,5.06804355620865,0.148718576934739
