subj,trialExp,trialRoom,rt,signedPE,reward,condition,imageShown,estimate,absPE,risk,signedErr,absErr,learningRate,lrcat,deck,exp,scenetype,alphapos,alphaneg,AsymmIdx,modval,modelrpe,AbsRPE,PositiveRPE
A100Y89FZO4J0B,15,15,1452122826774,-10,35,lowfirst,Indoor_26.jpg,45,10,low,5,5,NaN,-10,40 cents,exp1,I,0.377928140657748,0.802792160381376,-0.359834602106625,0.3758197089406,-0.0258197089405999,0.0258197089405999,0
A100Y89FZO4J0B,16,0,1452122840018,-5,60,lowfirst,Outdoor_38.jpg,65,5,high,25,25,0,-10,40 cents,exp1,O,0.377928140657748,0.802792160381376,-0.359834602106625,0.490294270640238,0.109705729359762,0.109705729359762,1
A100Y89FZO4J0B,17,1,1452122850510,5,40,lowfirst,Indoor_30.jpg,35,5,high,-25,25,0,10,60 cents,exp1,I,0.377928140657748,0.802792160381376,-0.359834602106625,0.355091849019757,0.0449081509802427,0.0449081509802427,1
A100Y89FZO4J0B,18,2,1452122862031,-65,0,lowfirst,Outdoor_1.jpg,65,65,high,25,25,0.692307692307692,-70,40 cents,exp1,O,0.377928140657748,0.802792160381376,-0.359834602106625,0.531755152956675,-0.531755152956675,0.531755152956675,0
A100Y89FZO4J0B,19,3,1452122871616,45,80,lowfirst,Indoor_17.jpg,35,45,high,-25,25,0.888888888888889,50,60 cents,exp1,I,0.377928140657748,0.802792160381376,-0.359834602106625,0.372063903020098,0.427936096979902,0.427936096979902,1
A100Y89FZO4J0B,20,4,1452122881512,60,80,lowfirst,Outdoor_72.jpg,20,60,high,-20,20,0.333333333333333,50,40 cents,exp1,O,0.377928140657748,0.802792160381376,-0.359834602106625,0.104866284920657,0.695133715079343,0.695133715079343,1
A100Y89FZO4J0B,21,5,1452122891107,-20,20,lowfirst,Outdoor_44.jpg,40,20,high,0,0,1,-10,40 cents,exp1,O,0.377928140657748,0.802792160381376,-0.359834602106625,0.367576877369106,-0.167576877369106,0.167576877369106,0
A100Y89FZO4J0B,22,6,1452122900225,-55,20,lowfirst,Indoor_66.jpg,75,55,high,15,15,0.545454545454545,-50,60 cents,exp1,I,0.377928140657748,0.802792160381376,-0.359834602106625,0.533792996472046,-0.333792996472046,0.333792996472046,0
A100Y89FZO4J0B,23,7,1452122909597,55,100,lowfirst,Indoor_18.jpg,45,55,high,-15,15,0.454545454545455,50,60 cents,exp1,I,0.377928140657748,0.802792160381376,-0.359834602106625,0.265826595714079,0.734173404285921,0.734173404285921,1
A100Y89FZO4J0B,24,8,1452122920958,-20,0,lowfirst,Outdoor_7.jpg,20,20,high,-20,20,-1,-10,40 cents,exp1,O,0.377928140657748,0.802792160381376,-0.359834602106625,0.233047473955996,-0.233047473955996,0.233047473955996,0
A100Y89FZO4J0B,25,9,1452122930453,10,80,lowfirst,Indoor_75.jpg,70,10,high,10,10,1,10,60 cents,exp1,I,0.377928140657748,0.802792160381376,-0.359834602106625,0.543291385316226,0.256708614683774,0.256708614683774,1
A100Y89FZO4J0B,26,10,1452122939818,-60,20,lowfirst,Indoor_77.jpg,80,60,high,20,20,0.833333333333333,-50,60 cents,exp1,I,0.377928140657748,0.802792160381376,-0.359834602106625,0.640308794754491,-0.440308794754491,0.440308794754491,0
A100Y89FZO4J0B,27,11,1452122949325,40,80,lowfirst,Outdoor_34.jpg,40,40,high,0,0,-0.5,50,40 cents,exp1,O,0.377928140657748,0.802792160381376,-0.359834602106625,0.0459587888674395,0.754041211132561,0.754041211132561,1
A100Y89FZO4J0B,28,12,1452122960843,0,20,lowfirst,Outdoor_30.jpg,20,0,high,-20,20,NaN,NaN,40 cents,exp1,O,0.377928140657748,0.802792160381376,-0.359834602106625,0.330932181770085,-0.130932181770085,0.130932181770085,0
A100Y89FZO4J0B,29,13,1452122970294,10,40,lowfirst,Indoor_51.jpg,30,10,high,-30,30,-2,10,60 cents,exp1,I,0.377928140657748,0.802792160381376,-0.359834602106625,0.286832346178613,0.113167653821387,0.113167653821387,1
