subj,alphapos,alphaneg,nLP,nloglik,AIC
A100Y89FZO4J0B,0.377928140657748,0.802792160381376,-17.5871624116738,-17.4701288826307,-30.9402577652613
A10DEO061A6L3O,0.051220044973524,0.902152331277219,-6.68628298833177,-7.00137158336391,-10.0027431667278
A10LQ8RUWDUI5U,0.547132816314462,0.488275115530378,-8.17617166019298,-7.95736955341791,-11.9147391068358
A11C9D55C41PB2,0.0290053421637765,0.399213513893716,-9.71412162382584,-9.93840344300794,-15.8768068860159
A129B5FAMFJNAT,0.255877873227334,0.629528199810662,-7.34842197592731,-7.19608050983719,-10.3921610196744
A12CY85VZUVH7J,0.689303951086496,0.611072437605063,-11.2936434057971,-11.1140114159091,-18.2280228318182
A12DBV9FNAOFEM,0.322707484780551,0.670774972651389,0.607224090710223,0.776239824134251,5.5524796482685
A12HZGOZQD5YK7,0.491570346153835,0.595809523907518,-12.2941662943092,-12.081007675036,-20.162015350072
A12ZPHBEIHN8U7,0.00930515859234421,0.0136652625973121,-15.4183932661391,-16.4418168216328,-28.8836336432656
A134J4N8MVEVAM,0.565154559820496,0.665752784880307,-20.3979838393099,-20.2039952173974,-36.4079904347948
A13I8ASC3JQ04P,0.516990897466033,0.256807296338164,-0.72593033573226,-0.559451129779298,2.8810977404414
A149MN8UN8O976,0.162220335826359,0.0991677494740467,-18.5930943624256,-18.7001150690359,-33.4002301380717
A14WLAP6TCEKO0,0.446722095114255,0.688405251084366,-4.07550121050748,-3.88771477678158,-3.77542955356316
A15781PHGW377Y,0.682026260357952,0.330099561892263,-22.6881865149066,-22.5204636582176,-41.0409273164351
A15PUZKRWJH0EY,0.354059188784528,0.808227416572853,-14.4882227217356,-14.3809468082204,-24.7618936164409
A15V8K8M4TXT9Y,0.653504489751433,0.473039257950461,-18.438326490832,-18.2380109691472,-32.4760219382944
A161AJDHLJVCLZ,0.115482261368489,0.119681462040548,-33.2219383785564,-33.3530721863009,-62.7061443726018
A1640H4RXH8NZE,0.00165248940092646,0.906257920268172,-5.60922544969335,-6.60856358284151,-9.21712716568302
A166A2M31CW2C7,0.811232783349844,0.528097255980918,-10.9592441847761,-10.8372087989199,-17.6744175978398
A16FVD94WDZNAS,0.212242152997566,0.369860804120076,-23.7271334802869,-23.6009254852792,-43.2018509705584
A16G6PPH1INQL8,0.676280704552035,0.799834561862156,-4.46224992624352,-4.35723231944068,-4.71446463888137
A16ICTTBPD7Q6Y,0.192103578089531,0.2721393465418,-54.1804617833104,-54.1016725188355,-104.203345037671
A173LV77LF3SHB,0.438304882748099,0.786259925993856,-44.3031491668394,-44.1649539739128,-84.3299079478256
A17AH7B74XRKX1,0.178738207197815,0.292218296501242,-30.3781282167907,-30.3018372417795,-56.6036744835591
A17AMTRIYI2Z2D,0.810729474522668,0.661588164178858,-27.7791639931798,-27.6781494857737,-51.3562989715474
A17I88FWG7XU6A,0.578394470709991,0.943438289634286,-32.075250270994,-32.1684016010331,-60.3368032020662
A17KIXJGFCB7ZQ,0.0756372639556298,0.18324128875631,-2.98552604521846,-3.12227503237064,-2.24455006474128
A18ABCQ0UCECNP,0.557098797999315,0.0828244321119936,50.6985378969921,50.6783709444924,105.356741888985
A18G2CLYSTENK,0.667265304742936,0.548522362621796,-16.0159787131825,-15.8209105158639,-27.6418210317277
A18U9WMYFYJPR6,0.766889711784843,0.598140296221161,-16.7004150788476,-16.5546476874148,-29.1092953748295
A192MH226Q1NT4,0.602547344479705,0.317139350491798,-22.5068719421041,-22.3234863315508,-40.6469726631015
A19C6T7B0H4PAQ,0.193961087004781,0.850789381541324,-13.6532323313687,-13.6619589428019,-23.3239178856038
A19IWFLUTW6KQU,0.183954248085746,0.847785193937609,0.804721916776899,0.791148201015275,5.58229640203055
A19L9MK673JAAG,0.586746672045019,0.545320728024737,-38.2539771761934,-38.0410423265358,-72.0820846530716
